重庆频道,#genre#
河南卫视,http://live.cbncdn.cn/__cl/cg:live/__c/henanHD/__op/default/__f/index.m3u8?sig=7dc346a5b500744e02dd7226cb57006f&ext_start_limit=1703228544&int_start_limit=1703228544&expires=1703228544&c=null
广东卫视,http://live.cbncdn.cn/__cl/cg:live/__c/guangdongHD/__op/default/__f/index.m3u8?sig=edea28efebe7cd88af9790c5974ef6bd&ext_start_limit=1703228553&int_start_limit=1703228553&expires=1703228553&c=null
深圳卫视,http://live.cbncdn.cn/__cl/cg:live/__c/shenzhenHD/__op/default/__f/index.m3u8?sig=23d7090309504c3643e72d933702cc57&ext_start_limit=1703224335&int_start_limit=1703224335&expires=1703224335&c=null
湖北卫视,http://live.cbncdn.cn/__cl/cg:live/__c/hubeiSD/__op/default/__f/index.m3u8?sig=9f62674ef128de41d8fe0e686d25e671&ext_start_limit=1703228572&int_start_limit=1703228572&expires=1703228572&c=null
东南卫视,http://live.cbncdn.cn/__cl/cg:live/__c/dongnanHD/__op/default/__f/index.m3u8?sig=b2635c62ce8b98e15de7676e198e9740&ext_start_limit=1703230142&int_start_limit=1703230142&expires=1703230142&c=null
河北卫视,http://live.cbncdn.cn/__cl/cg:live/__c/hebeiSD/__op/default/__f/index.m3u8?sig=934a9cd1607a8871e11df16eca6f4ee4&ext_start_limit=1703228221&int_start_limit=1703228221&expires=1703228221&c=null
吉林卫视,http://live.cbncdn.cn/__cl/cg:live/__c/jilinHD/__op/default/__f/index.m3u8?sig=f752bb26f1d9f2eadb3f1849acee0ed1&ext_start_limit=1703230161&int_start_limit=1703230161&expires=1703230161&c=null
广西卫视,http://live.cbncdn.cn/__cl/cg:live/__c/guangxiHD/__op/default/__f/index.m3u8?sig=e06d7497e5241efab31c1f99e11e8508&ext_start_limit=1703230171&int_start_limit=1703230171&expires=1703230171&c=null
山西卫视,http://live.cbncdn.cn/__cl/cg:live/__c/shanxiSD/__op/default/__f/index.m3u8?sig=5ccfbbd5ab5e337745ba433744f2638e&ext_start_limit=1703225767&int_start_limit=1703225767&expires=1703225767&c=null
内蒙古卫视,http://live.cbncdn.cn/__cl/cg:live/__c/neimengkuSD/__op/default/__f/index.m3u8?sig=2598dca3016408cdc8f46752d60ea8e5&ext_start_limit=1703225687&int_start_limit=1703225687&expires=1703225687&c=null
西藏卫视,http://live.cbncdn.cn/__cl/cg:live/__c/xizangSD/__op/default/__f/index.m3u8?sig=cf916c91435314338a59356bf809dc25&ext_start_limit=1703227283&int_start_limit=1703227283&expires=1703227283&c=null
新疆卫视,http://live.cbncdn.cn/__cl/cg:live/__c/xinjiangSD/__op/default/__f/index.m3u8?sig=e36aea094d2a9931663bac9f1cfd6481&ext_start_limit=1703223454&int_start_limit=1703223454&expires=1703223454&c=null
海南卫视,http://live.cbncdn.cn/__cl/cg:live/__c/hainanSD/__op/default/__f/index.m3u8?sig=a59e6fa04e8bc6ba98f702347fd42109&ext_start_limit=1703228655&int_start_limit=1703228655&expires=1703228655&c=null
贵州卫视,http://live.cbncdn.cn/__cl/cg:live/__c/guizhouHD/__op/default/__f/index.m3u8?sig=1d6e929f2ab2315f6103f27346078579&ext_start_limit=1703228665&int_start_limit=1703228665&expires=1703228665&c=null
青海卫视,http://live.cbncdn.cn/__cl/cg:live/__c/qinghaiSD/__op/default/__f/index.m3u8?sig=047611208061663cc1560943c2d9c6fa&ext_start_limit=1703228674&int_start_limit=1703228674&expires=1703228674&c=null
兵团卫视,http://live.cbncdn.cn/__cl/cg:live/__c/bingtuanSD/__op/default/__f/index.m3u8?sig=49b5fd4a74e75accfafdae167d88378a&ext_start_limit=1703228683&int_start_limit=1703228683&expires=1703228683&c=null
三沙卫视,http://live.cbncdn.cn/__cl/cg:live/__c/sanshaSD/__op/default/__f/index.m3u8?sig=46cdd5c0822c72bcd39df43cfd26b15e&ext_start_limit=1703228692&int_start_limit=1703228692&expires=1703228692&c=null
其它频道,#genre#
CHC动作电影,http://live.cbncdn.cn/__cl/cg:live/__c/chcdzdyHD/__op/default/__f/index.m3u8?sig=449114783392d54c7701b6c4eb7b1a75&ext_start_limit=1703225690&int_start_limit=1703225690&expires=1703225690&c=null
CHC家庭影院,http://live.cbncdn.cn/__cl/cg:live/__c/chcjtyyHD/__op/default/__f/index.m3u8?sig=dae1f5c97dab728e510470bec94bb2a0&ext_start_limit=1703225669&int_start_limit=1703225669&expires=1703225669&c=null
CHC高清电影,http://live.cbncdn.cn/__cl/cg:live/__c/chcgqdyHD/__op/default/__f/index.m3u8?sig=220670c7edbf0d63cbca1da7a1dc9f1f&ext_start_limit=1703225605&int_start_limit=1703225605&expires=1703225605&c=null
早期教育,http://live.cbncdn.cn/__cl/cg:live/__c/zaojiaoHD/__op/default/__f/index.m3u8?sig=6d9f73659b8720e049464edb2bf74944&ext_start_limit=1703228008&int_start_limit=1703228008&expires=1703228008&c=null
中国教育一套CETV1,http://live.cbncdn.cn/__cl/cg:live/__c/cetv-1SD/__op/default/__f/index.m3u8?sig=2bb9262e79705a09467ab2a10c2cbc51&ext_start_limit=1703227765&int_start_limit=1703227765&expires=1703227765&c=null
CETV4空中课堂,http://live.cbncdn.cn/__cl/cg:live/__c/cetv-4SD/__op/default/__f/index.m3u8?sig=16c9cdc84c9d9ec08949803741beb230&ext_start_limit=1703225166&int_start_limit=1703225166&expires=1703225166&c=null
国学频道,http://live.cbncdn.cn/__cl/cg:live/__c/guoxue/__op/default/__f/index.m3u8?sig=07a39bc18ff0c685daf45ac33ba8cda6&ext_start_limit=1703228334&int_start_limit=1703228334&expires=1703228334&c=null
